,Личность подтверждена,Статус,Стаж,На сайте,Заказы в работе,Оценка,Количество отзывов,Формат обучения,Предмет,Цена,С отличием,Топ-10 вуз,Предмет ЕГЭ,Гуманитарная наука,Естественная наука,Техническая наука,Большой стаж
42,False,Частный преподаватель,9.0,3.0,12.0,5.0,2.0,Дистанционно,Русский язык,1675.0,False,1,1,1,0,0,0
43,False,Частный преподаватель,23.0,5.0,8.0,5.0,2.0,Дистанционно,Русский язык,4500.0,False,0,1,1,0,0,0
44,False,Преподаватель университета или колледжа,27.0,4.0,1.0,5.0,1.0,Дистанционно,Русский язык,3150.0,False,0,1,1,0,0,1
45,False,Частный преподаватель,17.0,4.0,8.0,4.951735074626866,0.0,У репетитора,Русский язык,3250.0,False,0,1,1,0,0,0
46,False,Частный преподаватель,34.0,3.0,10.0,5.0,1.0,Дистанционно,Русский язык,4259.375,False,0,1,1,0,0,1
47,False,Школьный преподаватель,12.0,3.0,14.0,5.0,2.0,Дистанционно,Русский язык,875.0,False,0,1,1,0,0,0
48,False,Частный преподаватель,12.0,1.0,3.0,5.0,1.0,Дистанционно,Русский язык,1000.0,False,0,1,1,0,0,0
49,True,Частный преподаватель,1.0,0.5,2.0,5.0,1.0,У репетитора,Русский язык,966.6666666666666,False,0,1,1,0,0,0
50,True,Частный преподаватель,6.0,4.0,21.0,5.0,3.0,Дистанционно,Русский язык,1775.0,False,1,1,1,0,0,0
51,True,Частный преподаватель,7.0,0.0,2.0,4.951735074626866,0.0,У репетитора,Русский язык,1000.0,False,0,1,1,0,0,0
52,False,Частный преподаватель,34.0,1.0,18.0,4.951735074626866,0.0,У репетитора,Русский язык,500.0,False,0,1,1,0,0,1
53,True,Студент,1.0,0.0,2.0,4.951735074626866,0.0,Дистанционно,Русский язык,1375.0,False,0,1,1,0,0,0
54,False,Частный преподаватель,30.0,0.75,0.0,4.951735074626866,0.0,У репетитора,Русский язык,783.3333333333334,False,0,1,1,0,0,1
55,False,Аспирант или ординатор очной формы обучения,3.0,1.0,1.0,4.951735074626866,0.0,Дистанционно,Русский язык,1280.0,False,1,1,1,0,0,0
56,True,Школьный преподаватель,12.0,1.0,1.0,4.951735074626866,0.0,Дистанционно,Русский язык,2000.0,False,0,1,1,0,0,0
57,True,Школьный преподаватель,16.0,0.8333333333333334,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,1750.0,False,0,1,1,0,0,0
58,True,Школьный преподаватель,46.0,0.9166666666666666,1.0,4.951735074626866,0.0,Дистанционно,Русский язык,500.0,False,0,1,1,0,0,1
59,False,Частный преподаватель,7.0,2.0,1.0,4.951735074626866,0.0,Дистанционно,Русский язык,1500.0,False,1,1,1,0,0,0
60,False,Частный преподаватель,13.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,900.0,False,0,1,1,0,0,0
61,False,Частный преподаватель,12.0,4.0,19.0,4.951735074626866,0.0,Дистанционно,Русский язык,1500.0,False,0,1,1,0,0,0
62,False,Частный преподаватель,14.0,1.0,3.0,4.951735074626866,0.0,Дистанционно,Русский язык,2175.0,False,0,1,1,0,0,0
63,True,Частный преподаватель,14.0,3.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,1800.0,False,0,1,1,0,0,0
64,False,Частный преподаватель,9.0,3.0,0.0,4.951735074626866,0.0,У репетитора,Русский язык,3012.5,False,0,1,1,0,0,0
65,True,Частный преподаватель,15.0,3.0,1.0,4.951735074626866,0.0,У репетитора,Русский язык,800.0,False,0,1,1,0,0,0
66,False,Преподаватель университета или колледжа,18.0,2.0,4.0,4.951735074626866,0.0,Дистанционно,Русский язык,2381.25,True,0,1,1,0,0,0
67,False,Частный преподаватель,7.0,2.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,1500.0,False,0,1,1,0,0,0
68,False,Студент,4.0,2.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,412.5,False,0,1,1,0,0,0
69,False,Частный преподаватель,14.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,1233.3333333333333,False,0,1,1,0,0,0
70,False,Частный преподаватель,6.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,1200.0,False,0,1,1,0,0,0
71,False,Частный преподаватель,12.0,1.0,1.0,4.951735074626866,0.0,У репетитора,Русский язык,1296.428571428571,False,0,1,1,0,0,0
72,False,Школьный преподаватель,12.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,1200.0,True,0,1,1,0,0,0
73,True,Частный преподаватель,26.0,1.0,1.0,4.951735074626866,0.0,Дистанционно,Русский язык,1000.0,False,0,1,1,0,0,0
74,False,Школьный преподаватель,9.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,800.0,False,0,1,1,0,0,0
75,False,Частный преподаватель,34.0,1.0,0.0,4.951735074626866,0.0,У репетитора,Русский язык,875.0,False,0,1,1,0,0,1
76,False,Студент,6.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,1000.0,False,1,1,1,0,0,0
77,False,Студент,2.0,1.0,0.0,4.951735074626866,0.0,У репетитора,Русский язык,775.0,False,0,1,1,0,0,0
78,False,Школьный преподаватель,3.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,375.0,False,0,1,1,0,0,0
79,False,Частный преподаватель,10.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,700.0,False,0,1,1,0,0,0
80,True,Студент,3.0,0.9166666666666666,1.0,4.951735074626866,0.0,У ученика,Русский язык,725.0,False,0,1,1,0,0,0
81,False,Частный преподаватель,3.0,0.8333333333333334,0.0,4.951735074626866,0.0,У ученика,Русский язык,3166.6666666666665,False,0,1,1,0,0,0
82,False,Школьный преподаватель,5.0,0.75,0.0,4.951735074626866,0.0,У репетитора,Русский язык,800.0,False,0,1,1,0,0,0
83,True,Частный преподаватель,12.0,0.75,3.0,4.951735074626866,0.0,Дистанционно,Русский язык,1991.6666666666667,False,0,1,1,0,0,0
84,False,Преподаватель университета или колледжа,23.0,0.75,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,1747.0588235294117,False,0,1,1,0,0,0
85,True,Частный преподаватель,2.0,0.75,3.0,4.951735074626866,0.0,У репетитора,Русский язык,800.0,True,0,1,1,0,0,0
86,False,Частный преподаватель,15.0,0.6666666666666666,0.0,4.951735074626866,0.0,У репетитора,Русский язык,700.0,False,0,1,1,0,0,0
87,False,Студент,3.0,0.6666666666666666,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,600.0,False,0,1,1,0,0,0
88,True,Частный преподаватель,6.0,1.0,0.0,4.951735074626866,0.0,Дистанционно,Русский язык,975.0,False,0,1,1,0,0,0
89,False,Студент,1.0,0.5833333333333334,4.0,4.951735074626866,0.0,У ученика,Русский язык,750.0,False,1,1,1,0,0,0
90,True,Частный преподаватель,6.0,4.0,78.0,4.96,48.0,Дистанционно,Математика,2700.0,True,0,1,0,0,1,0
91,True,Частный преподаватель,37.0,4.0,79.0,5.0,45.0,Дистанционно,Математика,4333.333333333333,False,0,1,0,0,1,1
92,True,Частный преподаватель,5.0,5.0,80.0,5.0,40.0,Дистанционно,Математика,1712.5,False,0,1,0,0,1,0
93,True,Частный преподаватель,13.0,6.0,222.0,4.96,52.0,Дистанционно,Математика,7025.0,False,1,1,0,0,1,0
94,True,Частный преподаватель,22.0,4.0,64.0,5.0,35.0,Дистанционно,Математика,3000.0,False,0,1,0,0,1,0
95,True,Частный преподаватель,12.0,7.0,111.0,5.0,33.0,Дистанционно,Математика,4375.0,False,0,1,0,0,1,0
96,True,Частный преподаватель,11.0,5.0,129.0,4.93,28.0,Дистанционно,Математика,1781.25,False,0,1,0,0,1,0
97,True,Частный преподаватель,9.0,6.0,53.0,5.0,24.0,Дистанционно,Математика,6708.333333333333,False,0,1,0,0,1,0
98,True,Школьный преподаватель,34.0,4.0,35.0,5.0,23.0,Дистанционно,Математика,3685.0,False,0,1,0,0,1,1
99,True,Частный преподаватель,7.0,2.0,43.0,5.0,24.0,Дистанционно,Математика,3805.0,False,1,1,0,0,1,0
100,True,Частный преподаватель,7.0,3.0,45.0,5.0,22.0,Дистанционно,Математика,8750.0,False,1,1,0,0,1,0
101,True,Частный преподаватель,6.0,3.0,93.0,5.0,24.0,Дистанционно,Математика,1600.0,False,0,1,0,0,1,0
102,True,Частный преподаватель,43.0,5.0,33.0,5.0,19.0,Дистанционно,Математика,5500.0,False,1,1,0,0,1,1
103,True,Частный преподаватель,6.0,3.0,28.0,5.0,12.0,Дистанционно,Математика,2400.0,False,0,1,0,0,1,0
104,True,Частный преподаватель,26.0,6.0,29.0,4.85,13.0,У репетитора,Математика,2000.0,False,0,1,0,0,1,0
105,True,Школьный преподаватель,26.0,2.0,48.0,5.0,15.0,Дистанционно,Математика,3000.0,False,0,1,0,0,1,0
106,True,Частный преподаватель,42.0,2.0,28.0,5.0,11.0,Дистанционно,Математика,2000.0,False,0,1,0,0,1,1
107,False,Школьный преподаватель,31.0,3.0,33.0,5.0,11.0,Дистанционно,Математика,2000.0,False,0,1,0,0,1,1
108,True,Частный преподаватель,6.0,2.0,25.0,5.0,11.0,Дистанционно,Математика,2675.0,False,1,1,0,0,1,0
109,True,Студент,6.0,3.0,17.0,5.0,11.0,Дистанционно,Математика,3087.5,False,1,1,0,0,1,0
110,True,Школьный преподаватель,26.0,2.0,32.0,5.0,10.0,Дистанционно,Математика,2375.0,False,0,1,0,0,1,0
111,True,Частный преподаватель,6.0,2.0,31.0,5.0,8.0,Дистанционно,Математика,800.0,False,0,1,0,0,1,0
112,True,Преподаватель университета или колледжа,9.0,5.0,42.0,5.0,21.0,Дистанционно,Математика,4000.0,False,1,1,0,0,1,0
113,True,Частный преподаватель,8.0,6.0,31.0,5.0,9.0,Дистанционно,Математика,5500.0,False,1,1,0,0,1,0
114,True,Частный преподаватель,11.0,6.0,41.0,4.92,14.0,Дистанционно,Математика,2200.0,False,0,1,0,0,1,0
115,True,Частный преподаватель,27.0,3.0,13.0,5.0,7.0,Дистанционно,Математика,5000.0,False,0,1,0,0,1,1
116,False,Школьный преподаватель,25.0,4.0,38.0,5.0,9.0,Дистанционно,Математика,2500.0,False,0,1,0,0,1,0
117,True,Студент,3.0,1.0,21.0,5.0,9.0,У репетитора,Математика,2000.0,False,0,1,0,0,1,0
118,True,Частный преподаватель,10.0,6.0,17.0,5.0,7.0,Дистанционно,Математика,5533.333333333333,False,1,1,0,0,1,0
119,True,Частный преподаватель,5.0,4.0,19.0,5.0,10.0,Дистанционно,Математика,4000.0,False,1,1,0,0,1,0
120,True,Школьный преподаватель,12.0,1.0,55.0,5.0,8.0,Дистанционно,Математика,883.3333333333334,False,0,1,0,0,1,0
121,True,Частный преподаватель,20.0,3.0,10.0,5.0,5.0,Дистанционно,Математика,14000.0,False,0,1,0,0,1,0
122,False,Частный преподаватель,9.0,6.0,28.0,5.0,8.0,Дистанционно,Математика,3416.6666666666665,False,0,1,0,0,1,0
123,True,Частный преподаватель,6.0,2.0,62.0,5.0,7.0,Дистанционно,Математика,3031.25,False,0,1,0,0,1,0
124,False,Студент,3.0,2.0,27.0,5.0,6.0,Дистанционно,Математика,900.0,False,0,1,0,0,1,0
125,False,Частный преподаватель,15.0,3.0,44.0,5.0,8.0,У репетитора,Математика,2550.0,False,0,1,0,0,1,0
126,True,Частный преподаватель,37.0,1.0,49.0,4.5,6.0,Дистанционно,Математика,500.0,False,0,1,0,0,1,1
127,True,Студент,6.0,4.0,26.0,4.6,6.0,Дистанционно,Математика,4500.0,False,1,1,0,0,1,0
128,True,Преподаватель университета или колледжа,18.0,4.0,29.0,5.0,5.0,У репетитора,Математика,3000.0,False,1,1,0,0,1,0
129,True,Школьный преподаватель,6.0,2.0,33.0,5.0,4.0,Дистанционно,Математика,2300.0,False,0,1,0,0,1,0
130,True,Студент,2.0,1.0,15.0,5.0,6.0,Дистанционно,Математика,2310.0,False,1,1,0,0,1,0
131,True,Школьный преподаватель,5.0,1.0,10.0,5.0,5.0,Дистанционно,Математика,574.625,True,0,1,0,0,1,0
132,True,Частный преподаватель,5.0,2.0,39.0,5.0,5.0,Дистанционно,Математика,1100.0,False,0,1,0,0,1,0
133,False,Школьный преподаватель,5.0,3.0,18.0,5.0,5.0,Дистанционно,Математика,10250.0,False,0,1,0,0,1,0
134,False,Школьный преподаватель,22.0,2.0,13.0,5.0,6.0,Дистанционно,Математика,1500.0,False,0,1,0,0,1,0
135,False,Частный преподаватель,11.0,3.0,27.0,5.0,3.0,Дистанционно,Математика,1708.3333333333333,False,0,1,0,0,1,0
136,True,Частный преподаватель,3.0,1.0,15.0,5.0,5.0,Дистанционно,Математика,2000.0,False,0,1,0,0,1,0
137,True,Частный преподаватель,14.0,3.0,16.0,5.0,3.0,Дистанционно,Математика,1487.5,False,0,1,0,0,1,0
138,True,Школьный преподаватель,10.0,2.0,40.0,5.0,5.0,У репетитора,Математика,1000.0,False,0,1,0,0,1,0
139,False,Студент,2.0,1.0,23.0,5.0,5.0,Дистанционно,Математика,1333.3333333333333,False,0,1,0,0,1,0
140,False,Частный преподаватель,16.0,0.9166666666666666,13.0,5.0,4.0,Дистанционно,Математика,1600.0,False,0,1,0,0,1,0
141,False,Студент,3.0,1.0,35.0,5.0,6.0,Дистанционно,Математика,1000.0,False,0,1,0,0,1,0
142,True,Частный преподаватель,36.0,0.75,2.0,4.951735074626866,0.0,У репетитора,Математика,1875.0,False,0,1,0,0,1,1
143,False,Школьный преподаватель,14.0,3.0,14.0,5.0,4.0,Дистанционно,Математика,2250.0,True,0,1,0,0,1,0
144,True,Студент,3.0,1.0,11.0,5.0,4.0,Дистанционно,Математика,916.6666666666666,False,1,1,0,0,1,0
145,False,Частный преподаватель,11.0,6.0,59.0,5.0,16.0,Дистанционно,Математика,2375.0,False,1,1,0,0,1,0
146,True,Частный преподаватель,4.0,1.0,20.0,5.0,4.0,У репетитора,Математика,2416.6666666666665,False,0,1,0,0,1,0
147,True,Частный преподаватель,15.0,5.0,4.0,5.0,4.0,Дистанционно,Математика,4000.0,True,0,1,0,0,1,0
148,True,Частный преподаватель,8.0,3.0,5.0,5.0,2.0,Дистанционно,Математика,4500.0,False,1,1,0,0,1,0
149,False,Студент,2.0,1.0,23.0,5.0,5.0,Дистанционно,Математика,1000.0,False,0,1,0,0,1,0
150,True,Частный преподаватель,12.0,2.0,12.0,5.0,3.0,Дистанционно,Математика,4000.0,False,0,1,0,0,1,0
151,False,Студент,4.0,2.0,10.0,5.0,3.0,Дистанционно,Математика,1500.0,False,0,1,0,0,1,0
152,True,Частный преподаватель,12.0,1.0,5.0,5.0,1.0,Дистанционно,Математика,7500.0,False,0,1,0,0,1,0
153,True,Частный преподаватель,21.0,6.0,7.0,5.0,1.0,Дистанционно,Математика,3000.0,False,0,1,0,0,1,0
154,True,Частный преподаватель,45.0,5.0,9.0,5.0,3.0,У репетитора,Математика,2250.0,False,0,1,0,0,1,1
155,True,Школьный преподаватель,44.0,3.0,4.0,5.0,3.0,Дистанционно,Математика,1500.0,False,0,1,0,0,1,1
156,False,Студент,3.0,1.0,13.0,5.0,9.0,Дистанционно,Математика,4062.5,False,1,1,0,0,1,0
157,True,Частный преподаватель,6.0,4.0,13.0,5.0,3.0,Дистанционно,Математика,1500.0,False,1,1,0,0,1,0
158,True,Частный преподаватель,6.0,2.0,3.0,5.0,1.0,Дистанционно,Математика,1100.0,False,0,1,0,0,1,0
159,True,Школьный преподаватель,7.0,0.6666666666666666,12.0,5.0,1.0,Дистанционно,Математика,2000.0,False,0,1,0,0,1,0
160,True,Частный преподаватель,4.0,0.6666666666666666,9.0,5.0,2.0,Дистанционно,Математика,2500.0,False,0,1,0,0,1,0
161,True,Студент,4.0,3.0,53.0,4.8,11.0,Дистанционно,Математика,2416.6666666666665,False,1,1,0,0,1,0
162,False,Частный преподаватель,27.0,2.0,6.0,5.0,3.0,У ученика,Математика,2666.6666666666665,False,0,1,0,0,1,1
163,True,Студент,4.0,1.0,4.0,5.0,1.0,Дистанционно,Математика,1875.0,False,1,1,0,0,1,0
164,False,Частный преподаватель,25.0,3.0,28.0,5.0,5.0,У репетитора,Математика,12811.111111111111,False,1,1,0,0,1,0
165,False,Студент,4.0,3.0,48.0,5.0,3.0,Дистанционно,Математика,950.0,False,0,1,0,0,1,0
166,False,Студент,4.0,2.0,7.0,5.0,3.0,Дистанционно,Математика,1250.0,False,0,1,0,0,1,0
167,False,Частный преподаватель,6.0,2.0,9.0,5.0,3.0,У репетитора,Математика,2333.333333333333,False,0,1,0,0,1,0
168,False,Частный преподаватель,31.0,2.0,8.0,5.0,3.0,Дистанционно,Математика,800.0,False,0,1,0,0,1,1
169,True,Частный преподаватель,5.0,0.0,3.0,5.0,1.0,Дистанционно,Математика,1625.0,False,0,1,0,0,1,0
170,False,Частный преподаватель,37.0,5.0,10.0,3.5,2.0,Дистанционно,Математика,1500.0,False,1,1,0,0,1,1
171,True,Частный преподаватель,19.0,0.1666666666666666,1.0,4.951735074626866,0.0,У репетитора,Математика,2400.0,False,1,1,0,0,1,0
172,True,Школьный преподаватель,10.0,3.0,2.0,4.951735074626866,0.0,Дистанционно,Математика,1950.0,False,0,1,0,0,1,0
173,False,Школьный преподаватель,30.0,3.0,12.0,5.0,2.0,У репетитора,Математика,1500.0,False,0,1,0,0,1,1
174,True,Частный преподаватель,46.0,4.0,2.0,5.0,2.0,Дистанционно,Математика,6850.0,False,0,1,0,0,1,1
175,False,Студент,4.0,3.0,28.0,5.0,2.0,У ученика,Математика,1500.0,False,0,1,0,0,1,0
176,False,Студент,3.0,3.0,4.0,5.0,2.0,Дистанционно,Математика,2875.0,False,1,1,0,0,1,0
177,True,Частный преподаватель,19.0,2.0,5.0,5.0,2.0,У репетитора,Математика,1275.0,True,0,1,0,0,1,0
178,False,Студент,4.0,1.0,7.0,4.75,4.0,Дистанционно,Математика,2100.0,False,0,1,0,0,1,0
179,True,Частный преподаватель,4.0,2.0,64.0,5.0,16.0,Дистанционно,Математика,1833.3333333333333,False,0,1,0,0,1,0
180,True,Частный преподаватель,13.0,6.0,199.0,5.0,79.0,Дистанционно,Английский язык,2550.0,True,0,1,1,0,0,0
181,False,Аспирант или ординатор очной формы обучения,10.0,3.0,226.0,4.94,50.0,Дистанционно,Английский язык,1500.0,True,0,1,1,0,0,0
182,True,Студент,5.0,2.0,46.0,5.0,32.0,Дистанционно,Английский язык,1718.75,False,0,1,1,0,0,0
183,False,Преподаватель университета или колледжа,27.0,6.0,42.0,5.0,31.0,Дистанционно,Английский язык,2500.0,False,0,1,1,0,0,1
184,True,Частный преподаватель,15.0,4.0,75.0,5.0,26.0,Дистанционно,Английский язык,2000.0,True,0,1,1,0,0,0
185,True,Частный преподаватель,9.0,7.0,104.0,4.92,25.0,Дистанционно,Английский язык,1800.0,False,0,1,1,0,0,0
186,False,Частный преподаватель,17.0,7.0,55.0,4.96,28.0,Дистанционно,Английский язык,3300.0,False,0,1,1,0,0,0
187,True,Частный преподаватель,24.0,7.0,79.0,5.0,23.0,Дистанционно,Английский язык,2255.0,False,0,1,1,0,0,0
188,True,Преподаватель университета или колледжа,31.0,3.0,57.0,4.93,32.0,Дистанционно,Английский язык,2930.555555555556,True,0,1,1,0,0,1
189,True,Частный преподаватель,37.0,6.0,36.0,4.86,21.0,Дистанционно,Английский язык,2833.333333333333,False,0,1,1,0,0,1
190,True,Частный преподаватель,21.0,6.0,25.0,5.0,21.0,Дистанционно,Английский язык,1666.6666666666667,False,0,1,1,0,0,0
191,True,Частный преподаватель,29.0,1.0,105.0,5.0,17.0,У репетитора,Английский язык,816.6666666666666,False,0,1,1,0,0,1
192,True,Частный преподаватель,20.0,5.0,32.0,5.0,16.0,Дистанционно,Английский язык,5050.0,False,0,1,1,0,0,0
193,True,Частный преподаватель,36.0,3.0,50.0,5.0,17.0,Дистанционно,Английский язык,2000.0,False,0,1,1,0,0,1
194,True,Частный преподаватель,17.0,6.0,22.0,4.77,13.0,Дистанционно,Английский язык,4062.5,False,0,1,1,0,0,0
195,False,Преподаватель университета или колледжа,33.0,5.0,19.0,5.0,15.0,Дистанционно,Английский язык,3645.0,False,0,1,1,0,0,1
196,True,Частный преподаватель,18.0,6.0,39.0,5.0,12.0,Дистанционно,Английский язык,1635.4166666666667,False,0,1,1,0,0,0
197,True,Преподаватель университета или колледжа,29.0,2.0,39.0,5.0,17.0,Дистанционно,Английский язык,3708.3333333333335,False,0,1,1,0,0,1
198,False,Частный преподаватель,45.0,5.0,41.0,5.0,14.0,Дистанционно,Английский язык,1100.0,False,0,1,1,0,0,1
199,True,Частный преподаватель,8.0,2.0,51.0,4.8,15.0,Дистанционно,Английский язык,1266.6666666666667,False,0,1,1,0,0,0
200,True,Частный преподаватель,11.0,5.0,63.0,5.0,21.0,Дистанционно,Английский язык,1031.25,False,0,1,1,0,0,0
201,True,Школьный преподаватель,12.0,5.0,31.0,5.0,9.0,Дистанционно,Английский язык,3210.0,False,0,1,1,0,0,0
202,False,Частный преподаватель,6.0,4.0,27.0,5.0,12.0,Дистанционно,Английский язык,1500.0,False,0,1,1,0,0,0
203,True,Частный преподаватель,33.0,7.0,24.0,5.0,10.0,Дистанционно,Английский язык,3500.0,False,0,1,1,0,0,1
204,True,Школьный преподаватель,6.0,1.0,25.0,5.0,10.0,Дистанционно,Английский язык,4875.0,False,1,1,1,0,0,0
205,True,Частный преподаватель,5.0,4.0,29.0,4.92,12.0,Дистанционно,Английский язык,2250.0,False,0,1,1,0,0,0
206,True,Частный преподаватель,13.0,6.0,33.0,5.0,11.0,У ученика,Английский язык,4333.333333333333,False,0,1,1,0,0,0
207,True,Преподаватель университета или колледжа,13.0,6.0,42.0,5.0,11.0,У ученика,Английский язык,3050.0,False,0,1,1,0,0,0
208,True,Частный преподаватель,11.0,6.0,19.0,5.0,6.0,Дистанционно,Английский язык,3500.0,False,0,1,1,0,0,0
