,Личность подтверждена,Стаж,На сайте,Заказы в работе,Оценка,Количество отзывов,Цена,С отличием,Топ-10 вуз,Предмет ЕГЭ,Гуманитарная наука,Естественная наука,Техническая наука,Большой стаж,Статус_Аспирант или ординатор очной формы обучения,Статус_Преподаватель университета или колледжа,Статус_Студент,Статус_Частный преподаватель,Статус_Школьный преподаватель,Формат обучения_Дистанционно,Формат обучения_У репетитора,Формат обучения_У ученика,Предмет_Английский язык,Предмет_Биология,Предмет_География,Предмет_Информатика,Предмет_Испанский язык,Предмет_Логопед,Предмет_Математика,Предмет_Музыка,Предмет_Обществознание,Предмет_Русский язык,Предмет_Физика,Предмет_Химия,Предмет_Экономика,Стаж^2,На сайте^2,Заказы в работе^2,Оценка^2,Количество отзывов^2,Стаж * На сайте,Стаж * Заказы в работе,Стаж * Оценка,Стаж * Количество отзывов,На сайте * Заказы в работе,На сайте * Оценка,На сайте * Количество отзывов,Заказы в работе * Оценка,Заказы в работе * Количество отзывов,Оценка * Количество отзывов,Стаж^2 * На сайте,Стаж^2 * Заказы в работе,Стаж^2 * Оценка,Стаж^2 * Количество отзывов,На сайте^2 * Стаж,На сайте^2 * Заказы в работе,На сайте^2 * Оценка,На сайте^2 * Количество отзывов,Заказы в работе^2 * Стаж,Заказы в работе^2 * На сайте,Заказы в работе^2 * Оценка,Заказы в работе^2 * Количество отзывов,Оценка^2 * Стаж,Оценка^2 * На сайте,Оценка^2 * Заказы в работе,Оценка^2 * Количество отзывов,Количество отзывов^2 * Стаж,Количество отзывов^2 * На сайте,Количество отзывов^2 * Заказы в работе,Количество отзывов^2 * Оценка
10,1.0,7.0,5.0,62.0,5.0,17.0,5000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,25.0,3844.0,25.0,289.0,35.0,434.0,35.0,119.0,310.0,25.0,85.0,310.0,1054.0,85.0,245.0,3038.0,245.0,833.0,175.0,1550.0,125.0,425.0,26908.0,19220.0,19220.0,65348.0,175.0,125.0,1550.0,425.0,2023.0,1445.0,17918.0,1445.0
11,1.0,8.0,3.0,22.0,5.0,10.0,3500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,9.0,484.0,25.0,100.0,24.0,176.0,40.0,80.0,66.0,15.0,30.0,110.0,220.0,50.0,192.0,1408.0,320.0,640.0,72.0,198.0,45.0,90.0,3872.0,1452.0,2420.0,4840.0,200.0,75.0,550.0,250.0,800.0,300.0,2200.0,500.0
12,0.0,37.0,3.0,28.0,5.0,11.0,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1369.0,9.0,784.0,25.0,121.0,111.0,1036.0,185.0,407.0,84.0,15.0,33.0,140.0,308.0,55.0,4107.0,38332.0,6845.0,15059.0,333.0,252.0,45.0,99.0,29008.0,2352.0,3920.0,8624.0,925.0,75.0,700.0,275.0,4477.0,363.0,3388.0,605.0
13,0.0,4.0,3.0,50.0,4.73,12.0,800.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,9.0,2500.0,22.372900000000005,144.0,12.0,200.0,18.92,48.0,150.0,14.190000000000001,36.0,236.50000000000003,600.0,56.760000000000005,48.0,800.0,75.68,192.0,36.0,450.0,42.57000000000001,108.0,10000.0,7500.0,11825.000000000002,30000.0,89.49160000000002,67.11870000000002,1118.6450000000002,268.4748000000001,576.0,432.0,7200.0,681.1200000000001
14,0.0,7.0,3.0,17.0,5.0,10.0,1600.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,9.0,289.0,25.0,100.0,21.0,119.0,35.0,70.0,51.0,15.0,30.0,85.0,170.0,50.0,147.0,833.0,245.0,490.0,63.0,153.0,45.0,90.0,2023.0,867.0,1445.0,2890.0,175.0,75.0,425.0,250.0,700.0,300.0,1700.0,500.0
15,1.0,14.0,3.0,28.0,5.0,7.0,4025.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,196.0,9.0,784.0,25.0,49.0,42.0,392.0,70.0,98.0,84.0,15.0,21.0,140.0,196.0,35.0,588.0,5488.0,980.0,1372.0,126.0,252.0,45.0,63.0,10976.0,2352.0,3920.0,5488.0,350.0,75.0,700.0,175.0,686.0,147.0,1372.0,245.0
16,1.0,12.0,7.0,111.0,5.0,33.0,4125.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144.0,49.0,12321.0,25.0,1089.0,84.0,1332.0,60.0,396.0,777.0,35.0,231.0,555.0,3663.0,165.0,1008.0,15984.0,720.0,4752.0,588.0,5439.0,245.0,1617.0,147852.0,86247.0,61605.0,406593.0,300.0,175.0,2775.0,825.0,13068.0,7623.0,120879.0,5445.0
17,1.0,8.0,2.0,32.0,5.0,8.0,3271.875,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,4.0,1024.0,25.0,64.0,16.0,256.0,40.0,64.0,64.0,10.0,16.0,160.0,256.0,40.0,128.0,2048.0,320.0,512.0,32.0,128.0,20.0,32.0,8192.0,2048.0,5120.0,8192.0,200.0,50.0,800.0,200.0,512.0,128.0,2048.0,320.0
18,0.0,11.0,6.0,59.0,5.0,16.0,2218.75,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,121.0,36.0,3481.0,25.0,256.0,66.0,649.0,55.0,176.0,354.0,30.0,96.0,295.0,944.0,80.0,726.0,7139.0,605.0,1936.0,396.0,2124.0,180.0,576.0,38291.0,20886.0,17405.0,55696.0,275.0,150.0,1475.0,400.0,2816.0,1536.0,15104.0,1280.0
19,1.0,6.0,2.0,15.0,5.0,2.0,1680.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,4.0,225.0,25.0,4.0,12.0,90.0,30.0,12.0,30.0,10.0,4.0,75.0,30.0,10.0,72.0,540.0,180.0,72.0,24.0,60.0,20.0,8.0,1350.0,450.0,1125.0,450.0,150.0,50.0,375.0,50.0,24.0,8.0,60.0,20.0
20,0.0,32.0,5.0,16.0,5.0,6.0,3600.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,25.0,256.0,25.0,36.0,160.0,512.0,160.0,192.0,80.0,25.0,30.0,80.0,96.0,30.0,5120.0,16384.0,5120.0,6144.0,800.0,400.0,125.0,150.0,8192.0,1280.0,1280.0,1536.0,800.0,125.0,400.0,150.0,1152.0,180.0,576.0,180.0
21,1.0,4.0,2.0,33.0,5.0,7.0,1462.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,4.0,1089.0,25.0,49.0,8.0,132.0,20.0,28.0,66.0,10.0,14.0,165.0,231.0,35.0,32.0,528.0,80.0,112.0,16.0,132.0,20.0,28.0,4356.0,2178.0,5445.0,7623.0,100.0,50.0,825.0,175.0,196.0,98.0,1617.0,245.0
22,1.0,12.0,4.0,71.0,5.0,18.0,3000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144.0,16.0,5041.0,25.0,324.0,48.0,852.0,60.0,216.0,284.0,20.0,72.0,355.0,1278.0,90.0,576.0,10224.0,720.0,2592.0,192.0,1136.0,80.0,288.0,60492.0,20164.0,25205.0,90738.0,300.0,100.0,1775.0,450.0,3888.0,1296.0,23004.0,1620.0
23,0.0,7.0,1.0,20.0,5.0,5.0,2366.6666666666665,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,1.0,400.0,25.0,25.0,7.0,140.0,35.0,35.0,20.0,5.0,5.0,100.0,100.0,25.0,49.0,980.0,245.0,245.0,7.0,20.0,5.0,5.0,2800.0,400.0,2000.0,2000.0,175.0,25.0,500.0,125.0,175.0,25.0,500.0,125.0
24,1.0,8.0,1.0,17.0,5.0,4.0,2683.333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,1.0,289.0,25.0,16.0,8.0,136.0,40.0,32.0,17.0,5.0,4.0,85.0,68.0,20.0,64.0,1088.0,320.0,256.0,8.0,17.0,5.0,4.0,2312.0,289.0,1445.0,1156.0,200.0,25.0,425.0,100.0,128.0,16.0,272.0,80.0
25,1.0,38.0,3.0,27.0,5.0,7.0,1500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1444.0,9.0,729.0,25.0,49.0,114.0,1026.0,190.0,266.0,81.0,15.0,21.0,135.0,189.0,35.0,4332.0,38988.0,7220.0,10108.0,342.0,243.0,45.0,63.0,27702.0,2187.0,3645.0,5103.0,950.0,75.0,675.0,175.0,1862.0,147.0,1323.0,245.0
26,1.0,9.0,3.0,16.0,5.0,5.0,3000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,81.0,9.0,256.0,25.0,25.0,27.0,144.0,45.0,45.0,48.0,15.0,15.0,80.0,80.0,25.0,243.0,1296.0,405.0,405.0,81.0,144.0,45.0,45.0,2304.0,768.0,1280.0,1280.0,225.0,75.0,400.0,125.0,225.0,75.0,400.0,125.0
27,0.0,13.0,4.0,20.0,4.8,5.0,1100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,169.0,16.0,400.0,23.04,25.0,52.0,260.0,62.4,65.0,80.0,19.2,20.0,96.0,100.0,24.0,676.0,3380.0,811.1999999999999,845.0,208.0,320.0,76.8,80.0,5200.0,1600.0,1920.0,2000.0,299.52,92.16,460.79999999999995,115.19999999999999,325.0,100.0,500.0,120.0
28,1.0,30.0,0.8333333333333334,6.0,5.0,1.0,3250.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,900.0,0.6944444444444445,36.0,25.0,1.0,25.0,180.0,150.0,30.0,5.0,4.166666666666667,0.8333333333333334,30.0,6.0,5.0,750.0,5400.0,4500.0,900.0,20.833333333333336,4.166666666666667,3.4722222222222228,0.6944444444444445,1080.0,30.0,180.0,36.0,750.0,20.833333333333336,150.0,25.0,30.0,0.8333333333333334,6.0,5.0
29,0.0,33.0,4.0,13.0,5.0,4.0,4500.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1089.0,16.0,169.0,25.0,16.0,132.0,429.0,165.0,132.0,52.0,20.0,16.0,65.0,52.0,20.0,4356.0,14157.0,5445.0,4356.0,528.0,208.0,80.0,64.0,5577.0,676.0,845.0,676.0,825.0,100.0,325.0,100.0,528.0,64.0,208.0,80.0
30,0.0,12.0,2.0,16.0,5.0,4.0,1325.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144.0,4.0,256.0,25.0,16.0,24.0,192.0,60.0,48.0,32.0,10.0,8.0,80.0,64.0,20.0,288.0,2304.0,720.0,576.0,48.0,64.0,20.0,16.0,3072.0,512.0,1280.0,1024.0,300.0,50.0,400.0,100.0,192.0,32.0,256.0,80.0
31,0.0,34.0,1.0,22.0,5.0,5.0,1633.3333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1156.0,1.0,484.0,25.0,25.0,34.0,748.0,170.0,170.0,22.0,5.0,5.0,110.0,110.0,25.0,1156.0,25432.0,5780.0,5780.0,34.0,22.0,5.0,5.0,16456.0,484.0,2420.0,2420.0,850.0,25.0,550.0,125.0,850.0,25.0,550.0,125.0
32,1.0,13.0,5.0,8.0,5.0,3.0,3500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,169.0,25.0,64.0,25.0,9.0,65.0,104.0,65.0,39.0,40.0,25.0,15.0,40.0,24.0,15.0,845.0,1352.0,845.0,507.0,325.0,200.0,125.0,75.0,832.0,320.0,320.0,192.0,325.0,125.0,200.0,75.0,117.0,45.0,72.0,45.0
33,1.0,24.0,3.0,12.0,5.0,2.0,2900.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,576.0,9.0,144.0,25.0,4.0,72.0,288.0,120.0,48.0,36.0,15.0,6.0,60.0,24.0,10.0,1728.0,6912.0,2880.0,1152.0,216.0,108.0,45.0,18.0,3456.0,432.0,720.0,288.0,600.0,75.0,300.0,50.0,96.0,12.0,48.0,20.0
34,0.0,10.0,1.0,9.0,5.0,2.0,3000.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,1.0,81.0,25.0,4.0,10.0,90.0,50.0,20.0,9.0,5.0,2.0,45.0,18.0,10.0,100.0,900.0,500.0,200.0,10.0,9.0,5.0,2.0,810.0,81.0,405.0,162.0,250.0,25.0,225.0,50.0,40.0,4.0,36.0,20.0
35,0.0,12.0,4.0,6.0,5.0,2.0,2583.333333333333,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144.0,16.0,36.0,25.0,4.0,48.0,72.0,60.0,24.0,24.0,20.0,8.0,30.0,12.0,10.0,576.0,864.0,720.0,288.0,192.0,96.0,80.0,32.0,432.0,144.0,180.0,72.0,300.0,100.0,150.0,50.0,48.0,16.0,24.0,20.0
36,0.0,14.0,3.0,2.0,5.0,2.0,3583.333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,196.0,9.0,4.0,25.0,4.0,42.0,28.0,70.0,28.0,6.0,15.0,6.0,10.0,4.0,10.0,588.0,392.0,980.0,392.0,126.0,18.0,45.0,18.0,56.0,12.0,20.0,8.0,350.0,75.0,50.0,50.0,56.0,12.0,8.0,20.0
37,1.0,6.0,4.0,18.0,5.0,12.0,2700.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,16.0,324.0,25.0,144.0,24.0,108.0,30.0,72.0,72.0,20.0,48.0,90.0,216.0,60.0,144.0,648.0,180.0,432.0,96.0,288.0,80.0,192.0,1944.0,1296.0,1620.0,3888.0,150.0,100.0,450.0,300.0,864.0,576.0,2592.0,720.0
38,0.0,5.0,2.0,23.0,5.0,3.0,2566.6666666666665,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,4.0,529.0,25.0,9.0,10.0,115.0,25.0,15.0,46.0,10.0,6.0,115.0,69.0,15.0,50.0,575.0,125.0,75.0,20.0,92.0,20.0,12.0,2645.0,1058.0,2645.0,1587.0,125.0,50.0,575.0,75.0,45.0,18.0,207.0,45.0
39,0.0,26.0,1.0,4.0,4.951179775280899,0.0,2000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,676.0,1.0,16.0,24.51418116715061,0.0,26.0,104.0,128.73067415730338,0.0,4.0,4.951179775280899,0.0,19.804719101123595,0.0,0.0,676.0,2704.0,3346.9975280898875,0.0,26.0,4.0,4.951179775280899,0.0,416.0,16.0,79.21887640449438,0.0,637.3687103459158,24.51418116715061,98.05672466860244,0.0,0.0,0.0,0.0,0.0
40,1.0,14.0,0.25,4.0,5.0,1.0,800.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,196.0,0.0625,16.0,25.0,1.0,3.5,56.0,70.0,14.0,1.0,1.25,0.25,20.0,4.0,5.0,49.0,784.0,980.0,196.0,0.875,0.25,0.3125,0.0625,224.0,4.0,80.0,16.0,350.0,6.25,100.0,25.0,14.0,0.25,4.0,5.0
